CustomerID;FirstName;LastName;Email;Phone;JoinDate;Tier;CurrentPoints;TransactionID;PurchaseDate;AmountSpent;PointsEarned;RewardID;RewardName;PointsRequired;RedemptionDate;PointsUsed
C0291;Sarah;Anderson;sarah.anderson291@example.com;555-7857;2025/10/15;Bronze;10043;T00001;2025/01/09;534.49;534;;;;;
C0047;Jessica;Martinez;jessica.martinez47@example.com;555-2166;2024/07/15;Gold;7737;T00002;2025/05/29;345.0;345;;;;;
C0224;Emma;Martinez;emma.martinez224@example.com;555-7643;2022/04/16;Silver;10246;T00003;2025/02/21;104.59;105;R1;$5 Gift Voucher;500.0;2025/01/02;500.0
C0620;Michael;Brown;michael.brown620@example.com;555-4980;2024/07/21;Bronze;7987;T00004;2025/04/29;110.9;111;;;;;
C0219;Daniel;Moore;daniel.moore219@example.com;555-4292;2023/12/17;Silver;14127;T00005;2025/04/01;371.06;371;;;;;
C0861;Emma;Moore;emma.moore861@example.com;555-8568;2025/09/27;Silver;3668;T00006;2025/02/14;519.85;520;;;;;
C0013;Emma;Thomas;emma.thomas13@example.com;555-3834;2025/05/02;Bronze;689;T00007;2025/04/14;327.51;328;R6;VIP Event Access;5000.0;2025/02/28;5000.0
C0765;Ava;Brown;ava.brown765@example.com;555-6639;2023/10/07;Silver;2649;T00008;2025/04/12;134.61;135;;;;;
C0456;James;Wilson;james.wilson456@example.com;555-6368;2022/02/09;Silver;1187;T00009;2025/04/29;579.28;579;R1;$5 Gift Voucher;500.0;2025/05/18;500.0
C0159;Emma;Johnson;emma.johnson159@example.com;555-4489;2025/08/15;Bronze;11219;T00010;2025/02/20;25.29;25;;;;;
C0105;Michael;Thomas;michael.thomas105@example.com;555-3091;2024/06/03;Silver;7131;T00011;2025/01/15;556.88;557;;;;;
C0916;Emma;Wilson;emma.wilson916@example.com;555-6621;2023/12/18;Gold;7337;T00012;2025/06/29;340.54;341;R6;VIP Event Access;5000.0;2025/02/06;5000.0
C0399;Sophia;Lee;sophia.lee399@example.com;555-7456;2022/11/18;Platinum;4068;T00013;2025/03/04;530.4;530;;;;;
C0573;Sophia;Thomas;sophia.thomas573@example.com;555-8188;2024/07/22;Bronze;12607;T00014;2025/05/20;325.57;326;;;;;
C0316;David;Brown;david.brown316@example.com;555-6885;2025/06/12;Silver;8923;T00015;2025/03/19;401.46;401;;;;;
C0963;Daniel;Smith;daniel.smith963@example.com;555-9128;2023/04/05;Bronze;13075;T00016;2025/01/25;190.54;191;;;;;
C0161;Liam;Wilson;liam.wilson161@example.com;555-4055;2023/06/26;Silver;13636;T00017;2025/05/26;49.69;50;;;;;
C0420;Liam;Wilson;liam.wilson420@example.com;555-4494;2022/11/30;Silver;2167;T00018;2025/03/04;464.53;465;R6;VIP Event Access;5000.0;2025/03/31;5000.0
C0668;Ava;Moore;ava.moore668@example.com;555-2341;2022/06/22;Gold;5898;T00019;2025/06/18;385.12;385;R7;Wireless Earbuds;8000.0;2025/06/17;8000.0
C0745;Noah;Taylor;noah.taylor745@example.com;555-6508;2022/06/22;Silver;1142;T00020;2025/04/03;101.31;101;;;;;
C0354;Lucas;Johnson;lucas.johnson354@example.com;555-3842;2024/06/30;Gold;12266;T00021;2025/05/13;33.72;34;;;;;
C0447;Michael;Clark;michael.clark447@example.com;555-1938;2023/06/01;Bronze;4738;T00022;2025/06/28;425.87;426;;;;;
C0318;Ava;Martinez;ava.martinez318@example.com;555-8539;2026/03/19;Gold;9302;T00023;2025/06/04;588.98;589;R5;Free Shipping;750.0;2025/03/03;750.0
C0457;David;Wilson;david.wilson457@example.com;555-2030;2026/03/17;Bronze;11122;T00024;2025/03/09;255.56;256;;;;;
C0844;Liam;Clark;liam.clark844@example.com;555-5545;2024/05/09;Bronze;13945;T00025;2025/02/25;195.64;196;R3;Coffee Mug;1200.0;2025/04/29;1200.0
C0829;Mia;Davis;mia.davis829@example.com;555-5616;2026/05/19;Platinum;5650;T00026;2025/04/27;428.0;428;;;;;
C0002;David;Anderson;david.anderson2@example.com;555-6873;2022/10/07;Silver;983;T00027;2025/02/14;380.76;381;;;;;
C0559;David;Davis;david.davis559@example.com;555-5640;2022/08/26;Bronze;14227;T00028;2025/01/03;136.73;137;;;;;
C0652;Lucas;Davis;lucas.davis652@example.com;555-2879;2026/04/22;Silver;6261;T00029;2025/06/23;89.26;89;;;;;
C0453;Liam;Wilson;liam.wilson453@example.com;555-2790;2023/10/03;Silver;11705;T00030;2025/03/13;182.13;182;;;;;
C0873;Sophia;Smith;sophia.smith873@example.com;555-6834;2022/05/31;Bronze;494;T00031;2025/03/19;164.17;164;;;;;
C0277;Sarah;Davis;sarah.davis277@example.com;555-1362;2024/03/06;Silver;2043;T00032;2025/05/29;166.84;167;;;;;
C0809;John;Wilson;john.wilson809@example.com;555-9896;2023/07/04;Bronze;1341;T00033;2025/06/16;357.22;357;;;;;
C0080;Sarah;Moore;sarah.moore80@example.com;555-8562;2025/07/23;Bronze;1051;T00034;2025/05/10;528.22;528;R3;Coffee Mug;1200.0;2025/04/04;1200.0
C0054;Liam;Clark;liam.clark54@example.com;555-8426;2023/07/14;Platinum;5355;T00035;2025/04/17;453.24;453;;;;;
C0520;Sophia;Anderson;sophia.anderson520@example.com;555-9020;2023/11/25;Gold;7766;T00036;2025/01/08;522.32;522;R2;$10 Gift Voucher;1000.0;2025/05/13;1000.0
C0646;Noah;Brown;noah.brown646@example.com;555-5095;2022/02/04;Platinum;13928;T00037;2025/03/20;110.41;110;;;;;
C0417;Michael;Taylor;michael.taylor417@example.com;555-5586;2023/10/29;Platinum;9086;T00038;2025/01/31;562.38;562;R3;Coffee Mug;1200.0;2025/04/20;1200.0
C0638;John;Thomas;john.thomas638@example.com;555-8479;2023/01/12;Bronze;11224;T00039;2025/05/08;370.88;371;;;;;
C0436;Daniel;Johnson;daniel.johnson436@example.com;555-2035;2023/11/01;Bronze;14527;T00040;2025/01/20;259.92;260;;;;;
C0930;Ava;Brown;ava.brown930@example.com;555-3181;2025/06/22;Bronze;443;T00041;2025/03/12;565.36;565;R2;$10 Gift Voucher;1000.0;2025/03/06;1000.0
C0860;John;Martinez;john.martinez860@example.com;555-4347;2025/02/19;Bronze;7223;T00042;2025/03/10;557.96;558;R1;$5 Gift Voucher;500.0;2025/06/03;500.0
C0526;Liam;Moore;liam.moore526@example.com;555-7270;2022/09/14;Bronze;4346;T00043;2025/02/18;219.95;220;;;;;
C0104;Sophia;Wilson;sophia.wilson104@example.com;555-3602;2023/03/14;Silver;11762;T00044;2025/02/13;72.61;73;;;;;
C0464;Daniel;Johnson;daniel.johnson464@example.com;555-1216;2026/05/12;Bronze;2243;T00045;2025/04/25;97.56;98;R2;$10 Gift Voucher;1000.0;2025/04/03;1000.0
C0712;Lucas;Anderson;lucas.anderson712@example.com;555-4046;2024/06/01;Platinum;229;T00046;2025/03/10;550.76;551;R5;Free Shipping;750.0;2025/06/03;750.0
C0634;Liam;Moore;liam.moore634@example.com;555-7671;2025/02/28;Platinum;11203;T00047;2025/03/20;94.89;95;R7;Wireless Earbuds;8000.0;2025/03/19;8000.0
C0945;Daniel;Moore;daniel.moore945@example.com;555-5519;2024/01/12;Bronze;14581;T00048;2025/03/08;318.15;318;;;;;
C0981;James;Martinez;james.martinez981@example.com;555-2889;2022/12/15;Platinum;7673;T00049;2025/01/21;551.23;551;;;;;
C0177;Sophia;Davis;sophia.davis177@example.com;555-5296;2022/11/20;Platinum;9996;T00050;2025/04/07;311.06;311;;;;;
C0971;Emily;Davis;emily.davis971@example.com;555-3887;2023/02/20;Silver;7269;T00051;2025/03/30;91.95;92;;;;;
C0965;Lucas;Anderson;lucas.anderson965@example.com;555-1874;2025/05/27;Bronze;9871;T00052;2025/03/18;567.73;568;;;;;
C0296;Olivia;Thomas;olivia.thomas296@example.com;555-8379;2023/05/13;Platinum;2905;T00053;2025/06/09;248.88;249;R7;Wireless Earbuds;8000.0;2025/05/31;8000.0
C0080;Sarah;Moore;sarah.moore80@example.com;555-8562;2025/07/23;Bronze;1051;T00054;2025/03/19;346.66;347;;;;;
C0179;James;Brown;james.brown179@example.com;555-8470;2023/12/20;Silver;10157;T00055;2025/06/01;293.6;294;R3;Coffee Mug;1200.0;2025/06/13;1200.0
C0168;Emma;Anderson;emma.anderson168@example.com;555-9781;2023/09/15;Bronze;8629;T00056;2025/01/15;241.22;241;;;;;
C0751;Olivia;Taylor;olivia.taylor751@example.com;555-4637;2025/03/02;Bronze;10735;T00057;2025/03/24;77.88;78;;;;;
C0782;Mia;Taylor;mia.taylor782@example.com;555-2580;2023/11/01;Platinum;11750;T00058;2025/03/27;226.89;227;;;;;
C0392;Emma;Wilson;emma.wilson392@example.com;555-3452;2023/10/06;Bronze;11932;T00059;2025/01/27;25.38;25;R7;Wireless Earbuds;8000.0;2025/01/14;8000.0
C0825;Jessica;Thomas;jessica.thomas825@example.com;555-6337;2025/05/10;Bronze;7069;T00060;2025/02/10;435.28;435;;;;;
C0651;Emily;Brown;emily.brown651@example.com;555-5332;2024/08/02;Bronze;7872;T00061;2025/06/07;180.36;180;R4;T-Shirt;2500.0;2025/01/13;2500.0
C0233;Liam;Smith;liam.smith233@example.com;555-3084;2023/11/24;Gold;10175;T00062;2025/05/05;347.93;348;;;;;
C0416;Emma;Smith;emma.smith416@example.com;555-9367;2024/03/31;Bronze;13495;T00063;2025/02/03;402.78;403;R6;VIP Event Access;5000.0;2025/03/20;5000.0
C0866;Mia;Clark;mia.clark866@example.com;555-8768;2023/04/08;Gold;5004;T00064;2025/01/12;596.9;597;;;;;
C0838;Emma;Taylor;emma.taylor838@example.com;555-6380;2023/01/23;Platinum;9755;T00065;2025/05/19;215.28;215;;;;;
C0889;John;Johnson;john.johnson889@example.com;555-1755;2024/10/20;Silver;7728;T00066;2025/06/18;406.94;407;;;;;
C0262;Liam;Thomas;liam.thomas262@example.com;555-5692;2023/12/07;Gold;4495;T00067;2025/01/27;560.39;560;;;;;
C0633;Mia;Taylor;mia.taylor633@example.com;555-4268;2025/04/06;Platinum;11249;T00068;2025/02/13;27.84;28;;;;;
C0236;Michael;Moore;michael.moore236@example.com;555-4658;2024/08/22;Platinum;12008;T00069;2025/01/10;467.17;467;;;;;
C0262;Liam;Thomas;liam.thomas262@example.com;555-5692;2023/12/07;Gold;4495;T00070;2025/04/01;246.17;246;R3;Coffee Mug;1200.0;2025/02/24;1200.0
C0371;Emily;Brown;emily.brown371@example.com;555-3245;2022/07/14;Bronze;12209;T00071;2025/05/08;338.98;339;;;;;
C0640;James;Davis;james.davis640@example.com;555-6147;2025/01/03;Platinum;2045;T00072;2025/05/04;78.65;79;;;;;
C0952;Lucas;Clark;lucas.clark952@example.com;555-8963;2025/07/07;Silver;8921;T00073;2025/05/14;139.98;140;R1;$5 Gift Voucher;500.0;2025/01/25;500.0
C0621;Mia;Davis;mia.davis621@example.com;555-9571;2024/01/14;Silver;3501;T00074;2025/04/12;567.27;567;;;;;
C0359;Olivia;Davis;olivia.davis359@example.com;555-5015;2023/04/20;Bronze;3686;T00075;2025/04/06;109.18;109;;;;;
C0249;Sarah;Davis;sarah.davis249@example.com;555-4102;2025/04/24;Gold;14200;T00076;2025/05/07;287.57;288;;;;;
C0780;Noah;Davis;noah.davis780@example.com;555-7872;2023/08/31;Silver;9987;T00077;2025/05/17;130.54;131;;;;;
C0846;Daniel;Wilson;daniel.wilson846@example.com;555-3995;2024/09/28;Bronze;27;T00078;2025/05/04;41.14;41;;;;;
C0815;John;Lee;john.lee815@example.com;555-3064;2023/05/17;Bronze;12778;T00079;2025/04/10;112.73;113;R5;Free Shipping;750.0;2025/06/29;750.0
C0405;Lucas;Davis;lucas.davis405@example.com;555-8554;2023/04/19;Gold;6941;T00080;2025/02/04;120.81;121;;;;;
C0889;John;Johnson;john.johnson889@example.com;555-1755;2024/10/20;Silver;7728;T00081;2025/06/27;13.53;14;;;;;
C0911;Olivia;Davis;olivia.davis911@example.com;555-1444;2023/06/26;Gold;9186;T00082;2025/05/04;432.42;432;R3;Coffee Mug;1200.0;2025/04/12;1200.0
C0573;Sophia;Thomas;sophia.thomas573@example.com;555-8188;2024/07/22;Bronze;12607;T00083;2025/05/29;57.69;58;R3;Coffee Mug;1200.0;2025/06/25;1200.0
C0490;Emily;Lee;emily.lee490@example.com;555-4574;2025/11/18;Silver;8226;T00084;2025/04/05;413.61;414;R5;Free Shipping;750.0;2025/03/30;750.0
C0052;John;Moore;john.moore52@example.com;555-3247;2023/07/11;Bronze;4580;T00085;2025/01/10;56.67;57;;;;;
C0502;Olivia;Wilson;olivia.wilson502@example.com;555-2359;2026/01/10;Silver;11019;T00086;2025/01/22;283.87;284;;;;;
C0984;Daniel;Smith;daniel.smith984@example.com;555-1719;2026/04/08;Gold;5421;T00087;2025/06/09;221.65;222;;;;;
C0247;Sophia;Taylor;sophia.taylor247@example.com;555-4113;2024/11/15;Silver;8324;T00088;2025/02/23;188.09;188;R2;$10 Gift Voucher;1000.0;2025/01/24;1000.0
C0252;Emma;Moore;emma.moore252@example.com;555-9971;2022/11/08;Bronze;5335;T00089;2025/06/02;526.66;527;;;;;
C0291;Sarah;Anderson;sarah.anderson291@example.com;555-7857;2025/10/15;Bronze;10043;T00090;2025/04/17;487.93;488;R6;VIP Event Access;5000.0;2025/05/03;5000.0
C0072;Daniel;Lee;daniel.lee72@example.com;555-9791;2022/12/02;Gold;2545;T00091;2025/06/02;141.67;142;;;;;
C0360;Ava;Clark;ava.clark360@example.com;555-8959;2022/11/10;Bronze;9865;T00092;2025/06/17;61.42;61;;;;;
C0211;Mia;Wilson;mia.wilson211@example.com;555-8781;2022/11/23;Silver;8904;T00093;2025/02/14;197.85;198;;;;;
C0117;Lucas;Anderson;lucas.anderson117@example.com;555-1477;2023/05/27;Silver;1866;T00094;2025/02/17;320.81;321;;;;;
C0491;Jessica;Clark;jessica.clark491@example.com;555-4417;2023/09/27;Platinum;2293;T00095;2025/03/03;440.16;440;R1;$5 Gift Voucher;500.0;2025/04/11;500.0
C0087;Mia;Davis;mia.davis87@example.com;555-6901;2026/05/16;Bronze;4261;T00096;2025/03/13;189.97;190;;;;;
C0679;Daniel;Clark;daniel.clark679@example.com;555-8796;2022/11/08;Bronze;3415;T00097;2025/02/05;46.93;47;R3;Coffee Mug;1200.0;2025/05/15;1200.0
