CustomerID;FirstName;LastName;Email;Phone;JoinDate;Tier;CurrentPoints;TransactionID;PurchaseDate;AmountSpent;PointsEarned;RewardID;RewardName;PointsRequired;RedemptionDate;PointsUsed
C0001;James;Lewis;james.lewis1@example.com;555-1037;2024/08/12;Silver;10533;T00001;2025/05/19;164.34;164;;;;;
C0002;Amelia;Khumalo;amelia.khumalo2@example.com;555-1074;2024/09/14;Gold;5465;T00002;2025/06/27;252.74;253;R6;VIP Event Access;5000;2025/09/21;5000
C0003;Sipho;Wilson;sipho.wilson3@example.com;555-1111;2022/09/12;Platinum;3722;T00003;2025/12/14;219.51;220;;;;;
C0004;Daniel;Nkosi;daniel.nkosi4@example.com;555-1148;2022/02/07;Bronze;4508;T00004;2025/05/20;410.54;411;R6;VIP Event Access;5000;2025/03/01;5000
C0005;Emily;Williams;emily.williams5@example.com;555-1185;2023/06/23;Silver;5751;T00005;2025/03/28;239.54;240;R7;Wireless Earbuds;7500;2025/11/05;7500
C0006;Samuel;Wright;samuel.wright6@example.com;555-1222;2024/10/05;Gold;5291;T00006;2025/10/17;44.91;45;R6;VIP Event Access;5000;2025/04/01;5000
C0007;Naledi;Martinez;naledi.martinez7@example.com;555-1259;2022/09/24;Platinum;8723;T00007;2025/05/06;324.18;324;R2;$10 Gift Voucher;1000;2025/07/31;1000
C0008;Olivia;Hall;olivia.hall8@example.com;555-1296;2025/11/20;Bronze;3409;T00008;2025/03/10;700.95;701;;;;;
C0009;Joseph;Botha;joseph.botha9@example.com;555-1333;2025/06/04;Silver;3003;T00009;2025/09/01;476.82;477;;;;;
C0010;Lerato;Clark;lerato.clark10@example.com;555-1370;2023/05/07;Gold;14442;T00010;2025/07/01;600.9;601;;;;;
C0011;Jessica;Naidoo;jessica.naidoo11@example.com;555-1407;2022/06/01;Platinum;2134;T00011;2025/11/04;707.46;707;;;;;
C0012;Robert;Taylor;robert.taylor12@example.com;555-1444;2023/12/06;Bronze;8668;T00012;2025/06/17;838.97;839;;;;;
C0013;Grace;Dlamini;grace.dlamini13@example.com;555-1481;2025/06/01;Silver;8063;T00013;2025/04/20;351.3;351;R6;VIP Event Access;5000;2025/08/24;5000
C0014;Peter;Johnson;peter.johnson14@example.com;555-1518;2025/02/04;Gold;2887;T00014;2025/06/24;874.28;874;R2;$10 Gift Voucher;1000;2025/01/31;1000
C0015;David;King;david.king15@example.com;555-1555;2025/06/29;Platinum;12884;T00015;2025/10/24;935.03;935;;;;;
C0016;Charlotte;Brown;charlotte.brown16@example.com;555-1592;2022/07/25;Bronze;1214;T00016;2025/09/24;233.49;233;R6;VIP Event Access;5000;2025/11/15;5000
C0017;Thabo;Walker;thabo.walker17@example.com;555-1629;2025/06/02;Silver;64;T00017;2025/02/28;195.4;195;R3;Coffee Mug;1500;2025/10/15;1500
C0018;Michael;Pillay;michael.pillay18@example.com;555-1666;2025/02/28;Gold;4119;T00018;2025/12/25;103.72;104;R6;VIP Event Access;5000;2025/02/21;5000
C0019;Sophia;Davis;sophia.davis19@example.com;555-1703;2024/02/04;Platinum;7828;T00019;2025/07/03;660.51;661;R4;T-Shirt;2000;2025/01/30;2000
C0020;Thomas;Mokoena;thomas.mokoena20@example.com;555-1740;2022/05/07;Bronze;5788;T00020;2025/11/24;459.7;460;;;;;
C0021;Aisha;Smith;aisha.smith21@example.com;555-1777;2025/10/26;Silver;3085;T00021;2025/10/21;110.65;111;;;;;
C0022;Emma;Green;emma.green22@example.com;555-1814;2024/02/03;Gold;13823;T00022;2025/04/07;726.66;727;;;;;
C0023;William;Moore;william.moore23@example.com;555-1851;2022/09/17;Platinum;11415;T00023;2025/12/05;502.92;503;;;;;
C0024;Nomsa;Young;nomsa.young24@example.com;555-1888;2024/10/22;Bronze;485;T00024;2025/03/18;918.77;919;;;;;
C0025;Sarah;Anderson;sarah.anderson25@example.com;555-1925;2025/04/09;Silver;6027;T00025;2025/05/15;87.64;88;R1;$5 Gift Voucher;500;2025/10/12;500
C0026;James;Lewis;james.lewis26@example.com;555-1962;2025/01/04;Gold;8485;T00026;2025/03/01;484.46;484;;;;;
